0	nan
1	nan
2	nan
3	nan
4	nan
5	nan
6	nan
7	nan
8	nan
9	nan
10	-0.15617669334598408
11	0.4848849847109471
12	0.25936384262598283
13	-0.09201784306904244
14	0.2302019601869267
15	-0.060396215763114255
16	-0.009279462128236061
17	-0.7114786822735011
18	-0.8496276219339899
19	-0.5949931077215749
20	-0.5483737266162169
21	-0.7574076988654793
22	-0.5647655655535193
23	-0.37361042621894125
24	0.1719121945726431
25	-0.33355858020970885
26	-0.021545245378913516
27	0.14297986581673483
28	0.36449982550663806
29	0.5079124313991968
30	0.5079368483384167
